variant,m,dtype,best_l2_median,best_l2_min,final_l2_median,ok_1e_2,ok_5e_2,time_median
more_points_soft,12,fp32,0.9936592876911163,0.9873272776603699,4.190805673599243,0.0,0.0,106.6565910577774
more_points_soft,12,fp64,0.8922953162148053,0.7918590599330966,4.057114564172863,0.0,0.0,518.5902059078217
resample_100_soft,8,fp32,0.4842431533616036,0.0031260228715837,0.579747675685212,0.5,0.5,84.41633224487305
resample_100_soft,8,fp64,0.35653945318132185,0.002518884204677289,0.6055450705392256,0.5,0.5,308.10991060733795
resample_100_soft,9,fp32,0.8667227327823639,0.7737687826156616,3.185108780860901,0.0,0.0,73.85172820091248
resample_100_soft,9,fp64,0.38569215246001504,0.027685511852304424,2.078584237724485,0.0,0.5,309.3085207939148
resample_100_soft,10,fp32,0.038796855602413416,0.005746115930378437,0.038796855602413416,0.5,0.5,94.8665941953659
resample_100_soft,10,fp64,0.4724389776993275,0.030499735020029825,0.5916964633921296,0.0,0.5,307.51319682598114
resample_100_soft,11,fp32,0.6195481568574905,0.28633782267570496,0.8961133807897568,0.0,0.0,85.81020867824554
resample_100_soft,11,fp64,0.9208200545496547,0.8842450899711777,4.094275950690264,0.0,0.0,308.93159675598145
resample_100_soft,12,fp32,0.9421449601650238,0.9234357476234436,1.144071251153946,0.0,0.0,73.35306775569916
resample_100_soft,12,fp64,0.8905449009683568,0.8229494042510993,2.8513034761385985,0.0,0.0,317.06999707221985
resample_2k,8,fp32,0.49979674903443083,0.001877548056654632,0.5724304608302191,0.5,0.5,56.34932625293732
resample_2k,8,fp64,0.9655925334747055,0.9270554297052566,1.2623247924495749,0.0,0.0,186.36472284793854
resample_2k,9,fp32,0.9101124703884125,0.8205289840698242,0.9515724778175354,0.0,0.0,57.68140661716461
resample_2k,9,fp64,0.5010675589562554,0.00211962207410095,0.8123334201637342,0.5,0.5,197.3167278766632
resample_2k,10,fp32,0.7145734429359436,0.5031043291091919,4.838680803775787,0.0,0.0,70.79124236106873
resample_2k,10,fp64,0.9841810144416369,0.9640224278720806,3.8221366283815708,0.0,0.0,196.72267389297485
resample_2k,11,fp32,0.9998898804187775,0.9997513890266418,1.0179917812347412,0.0,0.0,48.37097179889679
resample_2k,11,fp64,0.9851772498985104,0.9703243240439257,2.978214004485088,0.0,0.0,196.32699751853943
resample_2k,12,fp32,1.000018835067749,0.999985933303833,1.00160813331604,0.0,0.0,47.714484095573425
resample_2k,12,fp64,1.0023016171526695,1.000101484613563,1.191519698187209,0.0,0.0,186.2642332315445
resample_5k,8,fp32,0.4196427436545491,0.016313130035996437,1.2452786238864064,0.0,0.5,82.19639277458191
resample_5k,8,fp64,0.8357008852020027,0.8333270916880886,1.5135352878004782,0.0,0.0,298.93952333927155
resample_5k,9,fp32,0.6637359857559204,0.6435003876686096,2.6071403324604034,0.0,0.0,74.40760564804077
resample_5k,9,fp64,0.7737521724714718,0.6353126044504966,3.6139973093076834,0.0,0.0,298.89119696617126
resample_5k,10,fp32,0.845535010099411,0.8018308877944946,1.467114120721817,0.0,0.0,73.47538256645203
resample_5k,10,fp64,0.4269578387515962,0.03620624923017141,0.44075019788122183,0.0,0.5,307.936252951622
resample_5k,11,fp32,0.8971443176269531,0.8938377499580383,1.4831555485725403,0.0,0.0,72.57754194736481
resample_5k,11,fp64,0.8430182004375846,0.7648315825262401,1.4371208979289198,0.0,0.0,298.32585406303406
resample_5k,12,fp32,0.587784931063652,0.2466135323047638,0.6885562688112259,0.0,0.0,85.71809816360474
resample_5k,12,fp64,0.8840779469495254,0.80425369797553,2.3551379370630032,0.0,0.0,314.00429916381836
soft_lbfgs,8,fp32,0.41430659336037934,0.00564082944765687,1.2425589635968208,0.5,0.5,84.45387196540833
soft_lbfgs,8,fp64,0.8357008852020027,0.8333270916880886,1.5135352878004782,0.0,0.0,300.0816422700882
