case_key,task_name,variant,main_parameter_name,main_parameter_value,hid_size,num_layers,n_collocation,n_ic,n_bc,adam_steps,lbfgs_steps,lr_adam,lbfgs_lr,resample_every,fp32_n_total,fp32_n_valid,fp32_n_bad,fp32_bad_rate,fp32_median_best_l2,fp32_min_best_l2,fp32_max_best_l2,fp32_source_paths,fp64_n_total,fp64_n_valid,fp64_n_bad,fp64_bad_rate,fp64_median_best_l2,fp64_min_best_l2,fp64_max_best_l2,fp64_source_paths,fp64_over_fp32_median
convection1d|convection|beta|30|256|3|6561|81|81|1500|2500||0.3|0,convection1d,convection,beta,30.0,256.0,3.0,6561.0,81.0,81.0,1500.0,2500.0,,0.3,0.0,2,2,2,1.0,1.0001898407936096,1.0000845193862915,1.0002951622009275,experiments_raw/final/final/runs/run025_convection1d_convection_beta30_beta30p0_fp32_s0; experiments_raw/final/final/runs/run026_convection1d_convection_beta30_beta30p0_fp32_s1,2,2,0,0.0,0.007462936888774051,0.0034621931284607,0.0114636806490874,experiments_raw/final/final/runs/run027_convection1d_convection_beta30_beta30p0_fp64_s0; experiments_raw/final/final/runs/run028_convection1d_convection_beta30_beta30p0_fp64_s1,0.007461520387822092
convection1d|convection_beta30_lbfgs_grid|beta|30|256|3|4225|65|65|0|4000||1|0,convection1d,convection_beta30_lbfgs_grid,beta,30.0,256.0,3.0,4225.0,65.0,65.0,0.0,4000.0,,1.0,0.0,2,2,0,0.0,0.010941238608211251,0.0080388681963086,0.0138436090201139,experiments_raw/final/final 2/runs/run025_convection1d_convection_beta30_lbfgs_grid_beta30p0_fp32_s0; experiments_raw/final/final 2/runs/run026_convection1d_convection_beta30_lbfgs_grid_beta30p0_fp32_s1,2,2,0,0.0,0.0066253707376576505,0.0065081180455283,0.006742623429787,experiments_raw/final/final 2/runs/run027_convection1d_convection_beta30_lbfgs_grid_beta30p0_fp64_s0; experiments_raw/final/final 2/runs/run028_convection1d_convection_beta30_lbfgs_grid_beta30p0_fp64_s1,0.605541198295904
convection1d|convection|beta|50|256|3|4225|65|65|0|4000||1|0,convection1d,convection,beta,50.0,256.0,3.0,4225.0,65.0,65.0,0.0,4000.0,,1.0,0.0,1,1,1,1.0,0.8505832552909851,0.8505832552909851,0.8505832552909851,experiments_raw/results_exp_10_convection1d_large_lbfgs/results_exp_10_convection1d_large_lbfgs/runs/exp10_r003_beta50p0_lbfgs_grid_t4_fp32_s0,1,1,1,1.0,0.8581250754380461,0.8581250754380461,0.8581250754380461,experiments_raw/results_exp_10_convection1d_large_lbfgs/results_exp_10_convection1d_large_lbfgs/runs/exp10_r004_beta50p0_lbfgs_grid_t4_fp64_s0,1.0088666454461073
convection1d|convection|beta|50|256|3|6561|81|81|2000|3000||0.2|0,convection1d,convection,beta,50.0,256.0,3.0,6561.0,81.0,81.0,2000.0,3000.0,,0.2,0.0,1,1,0,0.0,0.741241991519928,0.741241991519928,0.741241991519928,experiments_raw/final/final/runs/run031_convection1d_convection_beta50_beta50p0_fp32_s0,1,1,0,0.0,0.7004091523132202,0.7004091523132202,0.7004091523132202,experiments_raw/final/final/runs/run032_convection1d_convection_beta50_beta50p0_fp64_s0,0.9449129438511984
convection1d|convection_beta50_wide_lbfgs|beta|50|512|3|10201|101|101|0|5000||0.5|0,convection1d,convection_beta50_wide_lbfgs,beta,50.0,512.0,3.0,10201.0,101.0,101.0,0.0,5000.0,,0.5,0.0,1,1,0,0.0,0.6873066425323486,0.6873066425323486,0.6873066425323486,experiments_raw/final/final 2/runs/run031_convection1d_convection_beta50_wide_lbfgs_beta50p0_fp32_s0,1,1,0,0.0,0.0071818074399789,0.0071818074399789,0.0071818074399789,experiments_raw/final/final 2/runs/run032_convection1d_convection_beta50_wide_lbfgs_beta50p0_fp64_s0,0.010449204176927306
heat1d|heat1d|alpha|0.1|64|4|5000|500|500|8000|500|||,heat1d,heat1d,alpha,0.1,64.0,4.0,5000.0,500.0,500.0,8000.0,500.0,,,,3,3,0,0.0,0.0003752529737539,0.0002165301557397,0.0005908291786909,experiments_raw/results_exp_1_heat1d_precision/runs/heat1d_fp32_0; experiments_raw/results_exp_1_heat1d_precision/runs/heat1d_fp32_1; experiments_raw/results_exp_1_heat1d_precision/runs/heat1d_fp32_2,3,3,0,0.0,0.0003106738239774,0.0002769395990441,0.0008231124190756,experiments_raw/results_exp_1_heat1d_precision/runs/heat1d_fp64_0; experiments_raw/results_exp_1_heat1d_precision/runs/heat1d_fp64_1; experiments_raw/results_exp_1_heat1d_precision/runs/heat1d_fp64_2,0.8279050286251627
helmholtz1d|helmholtz_m5|m|5|128|4|5000|0|2|10000|800|||,helmholtz1d,helmholtz_m5,m,5.0,128.0,4.0,5000.0,0.0,2.0,10000.0,800.0,,,,2,2,0,0.0,0.00176921091042455,0.0012301544193178,0.0023082674015313,experiments_raw/results_exp_5_helmholtz1d_normalized/runs/helmholtz_m5_fp32_0; experiments_raw/results_exp_5_helmholtz1d_normalized/runs/helmholtz_m5_fp32_1,2,2,0,0.0,0.0006340767112641,0.000452363636341,0.0008157897861872,experiments_raw/results_exp_5_helmholtz1d_normalized/runs/helmholtz_m5_fp64_0; experiments_raw/results_exp_5_helmholtz1d_normalized/runs/helmholtz_m5_fp64_1,0.35839520744982484
helmholtz1d|helmholtz_m5|m|5|128|4|5000|0|2|2000|1000|||,helmholtz1d,helmholtz_m5,m,5.0,128.0,4.0,5000.0,0.0,2.0,2000.0,1000.0,,,,2,2,0,0.0,8.231881838578744e-05,3.904392724507488e-05,0.0001255937095265,experiments_raw/results_exp_4_helmholtz1d_initial/runs/helmholtz_m5_fp32_0; experiments_raw/results_exp_4_helmholtz1d_initial/runs/helmholtz_m5_fp32_1,2,2,0,0.0,5.9387394675344035e-05,4.0099485495170586e-05,7.867530385551748e-05,experiments_raw/results_exp_4_helmholtz1d_initial/runs/helmholtz_m5_fp64_0; experiments_raw/results_exp_4_helmholtz1d_initial/runs/helmholtz_m5_fp64_1,0.7214315734832927
helmholtz1d|helmholtz_rs_m5|m|5|128|4|5000|0|2|10000|1000|||200,helmholtz1d,helmholtz_rs_m5,m,5.0,128.0,4.0,5000.0,0.0,2.0,10000.0,1000.0,,,200.0,2,2,0,0.0,0.0001501124716014,0.0001494790485594,0.0001507458946434,experiments_raw/results_exp_6_helmholtz1d_resampling_final/runs/helmholtz_rs_m5_fp32_0; experiments_raw/results_exp_6_helmholtz1d_resampling_final/runs/helmholtz_rs_m5_fp32_1,2,2,0,0.0,0.0004776219133083094,5.777493379241883e-05,0.0008974688928242,experiments_raw/results_exp_6_helmholtz1d_resampling_final/runs/helmholtz_rs_m5_fp64_0; experiments_raw/results_exp_6_helmholtz1d_resampling_final/runs/helmholtz_rs_m5_fp64_1,3.181760370827542
helmholtz1d|helmholtz_rs_m6|m|6|128|4|5000|0|2|10000|1000|||200,helmholtz1d,helmholtz_rs_m6,m,6.0,128.0,4.0,5000.0,0.0,2.0,10000.0,1000.0,,,200.0,2,2,0,0.0,0.00026787861861518136,8.179871656466275e-05,0.0004539585206657,experiments_raw/results_exp_6_helmholtz1d_resampling_final/runs/helmholtz_rs_m6_fp32_0; experiments_raw/results_exp_6_helmholtz1d_resampling_final/runs/helmholtz_rs_m6_fp32_1,2,2,0,0.0,0.00050666160955625,0.0002548418768011,0.0007584813423114,experiments_raw/results_exp_6_helmholtz1d_resampling_final/runs/helmholtz_rs_m6_fp64_0; experiments_raw/results_exp_6_helmholtz1d_resampling_final/runs/helmholtz_rs_m6_fp64_1,1.8913850316814207
