task_name,variant,main_parameter_name,main_parameter_value,dtype,n_total,n_valid,n_bad,seed_list,best_l2_mean,best_l2_median,best_l2_std,best_l2_min,best_l2_max,final_l2_mean,final_l2_median,final_l2_std,final_l2_min,final_l2_max,bad_rate
burgers1d,adam5e4_lbfgs05_steps2000_inner5_resample200,nu,0.002,fp32,1,1,0,0,0.0470239780843257,0.0470239780843257,,0.0470239780843257,0.0470239780843257,0.04712007939815521,0.04712007939815521,,0.04712007939815521,0.04712007939815521,0.0
burgers1d,adam5e4_lbfgs1_steps2000_inner5_resample200,nu,0.001,fp32,1,1,1,0,0.2708814144134521,0.2708814144134521,,0.2708814144134521,0.2708814144134521,0.27088141441345215,0.27088141441345215,,0.27088141441345215,0.27088141441345215,1.0
burgers1d,adam5e4_lbfgs1_steps2000_inner5_resample200,nu,0.001,fp64,1,1,0,0,0.0995819415032934,0.0995819415032934,,0.0995819415032934,0.0995819415032934,0.1003156039928465,0.1003156039928465,,0.1003156039928465,0.1003156039928465,0.0
burgers1d,adam5e4_lbfgs1_steps2000_inner5_resample200,nu,0.002,fp32,1,1,0,0,0.0477750860154628,0.0477750860154628,,0.0477750860154628,0.0477750860154628,0.050614576786756516,0.050614576786756516,,0.050614576786756516,0.050614576786756516,0.0
burgers1d,adam5e4_lbfgs1_steps2000_inner5_resample200,nu,0.002,fp64,1,1,0,0,0.0483794210626988,0.0483794210626988,,0.0483794210626988,0.0483794210626988,0.050917320703828754,0.050917320703828754,,0.050917320703828754,0.050917320703828754,0.0
burgers1d,burgers_hard_nu_0p0001,nu,0.0001,fp32,2,1,2,"0,1",0.3910178542137146,0.3910178542137146,,0.3910178542137146,0.3910178542137146,0.3912387192249298,0.3912387192249298,,0.3912387192249298,0.3912387192249298,1.0
burgers1d,burgers_hard_nu_0p0001,nu,0.0001,fp64,2,2,2,"0,1",0.4136770667144381,0.4136770667144381,0.008464691805830978,0.4076916257378808,0.4196625076909954,0.4136770667144381,0.4136770667144381,0.008464691805830978,0.4076916257378808,0.4196625076909954,1.0
burgers1d,burgers_hard_nu_0p0002,nu,0.0002,fp32,2,2,2,"0,1",0.39725589752197266,0.39725589752197266,0.01626918928738723,0.3857518434524536,0.4087599515914917,0.39725589752197266,0.39725589752197266,0.01626918928738723,0.3857518434524536,0.4087599515914917,1.0
burgers1d,burgers_hard_nu_0p0002,nu,0.0002,fp64,2,2,2,"0,1",0.4087557481708067,0.4087557481708067,0.0061115419533629145,0.4044342354120777,0.4130772609295357,0.40909566671109376,0.40909566671109376,0.0056308245435869285,0.4051140724926518,0.41307726092953573,1.0
burgers1d,burgers_hard_nu_0p0005,nu,0.0005,fp32,2,2,2,"0,1",0.38551378250122065,0.38551378250122065,0.021479298406606926,0.3703256249427795,0.4007019400596618,31628257280.18516,31628257280.18516,44729110399.339714,0.37032562494277954,63256514560.0,1.0
burgers1d,burgers_hard_nu_0p0005,nu,0.0005,fp64,2,2,2,"0,1",0.3839419351851035,0.3839419351851035,0.015425373999762905,0.3730345486275325,0.3948493217426745,0.3849497125606439,0.3849497125606439,0.014000161567420958,0.3750501033786133,0.39484932174267456,1.0
burgers1d,burgers_hard_nu_0p001,nu,0.001,fp32,2,1,2,"0,1",0.2925863564014435,0.2925863564014435,,0.2925863564014435,0.2925863564014435,0.2925863564014435,0.2925863564014435,,0.2925863564014435,0.2925863564014435,1.0
burgers1d,burgers_hard_nu_0p001,nu,0.001,fp64,2,2,2,"0,1",0.28694480985315574,0.28694480985315574,0.07291252279608294,0.2353878705506267,0.3385017491556847,0.28973214177940054,0.28973214177940054,0.0689706401831521,0.24096253440311627,0.33850174915568476,1.0
burgers1d,burgers_hard_nu_0p002,nu,0.002,fp32,2,2,0,"0,1",0.048669481649994795,0.048669481649994795,0.0015773800498345726,0.0475541055202484,0.0497848577797412,0.04871722124516964,0.04871722124516964,0.0016448940327930127,0.04755410552024841,0.049880336970090866,0.0
burgers1d,burgers_hard_nu_0p002,nu,0.002,fp64,2,2,2,"0,1",0.2603688687630654,0.2603688687630654,0.08184038392022701,0.2024989783181624,0.3182387592079684,5036976508.883046,5036976508.883046,7123360491.803356,0.29255322203803313,10073953017.47354,1.0
burgers1d,burgers_hard_nu_0p005,nu,0.005,fp32,2,2,0,"0,1",0.0469164233654737,0.0469164233654737,0.0028881365018113498,0.0448742024600505,0.0489586442708969,0.05205364339053631,0.05205364339053631,9.481196990328805e-05,0.05198660120368004,0.05212068557739258,0.0
burgers1d,burgers_hard_nu_0p005,nu,0.005,fp64,2,2,0,"0,1",0.05057231804090655,0.05057231804090655,0.0007071323542312812,0.0500722999580332,0.0510723361237799,0.051965468013369584,0.051965468013369584,0.000194593184489076,0.051827869853044675,0.0521030661736945,0.0
