source_path,summary_path,metrics_path,task_name,variant,dtype,seed,main_parameter_name,main_parameter_value,best_l2_error,final_l2_error,final_loss,hid_size,num_layers,n_collocation,n_ic,n_bc,adam_steps,lbfgs_steps,lr_adam,lbfgs_lr,resample_every,is_valid,is_bad
experiments_raw/results_exp_7_helmholtz1d_lbfgs_warmup/runs/helmholtz_lbfgs_r01_m8_fp32_adam0,experiments_raw/results_exp_7_helmholtz1d_lbfgs_warmup/runs/helmholtz_lbfgs_r01_m8_fp32_adam0/summary.json,experiments_raw/results_exp_7_helmholtz1d_lbfgs_warmup/runs/helmholtz_lbfgs_r01_m8_fp32_adam0/metrics.csv,helmholtz1d,helmholtz_m8,fp32,0,m,8.0,1.0168980360031128,4.687134742736816,196439.53125,128.0,4.0,5000.0,0.0,2.0,0.0,1500.0,,,,True,True
experiments_raw/results_exp_5_helmholtz1d_normalized/runs/helmholtz_m8_fp32_0,experiments_raw/results_exp_5_helmholtz1d_normalized/runs/helmholtz_m8_fp32_0/summary.json,experiments_raw/results_exp_5_helmholtz1d_normalized/runs/helmholtz_m8_fp32_0/metrics.csv,helmholtz1d,helmholtz_m8,fp32,0,m,8.0,0.9888505339622498,9.055488586425781,0.030001886188983917,128.0,4.0,5000.0,0.0,2.0,10000.0,800.0,,,,True,True
experiments_raw/results_exp_8_helmholtz1d_optimizer/runs/overnight_r026_m8_resample_100_soft_fp32_s1,experiments_raw/results_exp_8_helmholtz1d_optimizer/runs/overnight_r026_m8_resample_100_soft_fp32_s1/summary.json,experiments_raw/results_exp_8_helmholtz1d_optimizer/runs/overnight_r026_m8_resample_100_soft_fp32_s1/metrics.csv,helmholtz1d,helmholtz_m8,fp32,1,m,8.0,0.9653602838516236,1.1563693284988403,0.00021538118016906083,128.0,4.0,5000.0,0.0,2.0,5000.0,1500.0,,,100.0,True,True
experiments_raw/results_exp_12_helmholts_more/results_exp_9_helmholtz1d_large_lbfgs/runs/exp9_r006_m8_resample_wide_256_fp32_s1,experiments_raw/results_exp_12_helmholts_more/results_exp_9_helmholtz1d_large_lbfgs/runs/exp9_r006_m8_resample_wide_256_fp32_s1/summary.json,experiments_raw/results_exp_12_helmholts_more/results_exp_9_helmholtz1d_large_lbfgs/runs/exp9_r006_m8_resample_wide_256_fp32_s1/metrics.csv,helmholtz1d,helmholtz_m8,fp32,1,m,8.0,0.9991311430931092,1.0000079870224,0.5027774572372437,256.0,3.0,5000.0,0.0,2.0,8000.0,2000.0,,1.0,200.0,True,True
experiments_raw/results_exp_9_helmholtz1d_large_lbfgs/results_exp_9_helmholtz1d_large_lbfgs/runs/exp9_r004_m8_resample_wide_256_fp64_s0,experiments_raw/results_exp_9_helmholtz1d_large_lbfgs/results_exp_9_helmholtz1d_large_lbfgs/runs/exp9_r004_m8_resample_wide_256_fp64_s0/summary.json,experiments_raw/results_exp_9_helmholtz1d_large_lbfgs/results_exp_9_helmholtz1d_large_lbfgs/runs/exp9_r004_m8_resample_wide_256_fp64_s0/metrics.csv,helmholtz1d,helmholtz_m8,fp64,0,m,8.0,0.9991073065903948,2.205890885713629,0.13329940851240557,256.0,3.0,5000.0,0.0,2.0,8000.0,1000.0,,1.0,200.0,True,True
experiments_raw/results_exp_8_helmholtz1d_optimizer/runs/overnight_r011_m8_resample_5k_fp64_s0,experiments_raw/results_exp_8_helmholtz1d_optimizer/runs/overnight_r011_m8_resample_5k_fp64_s0/summary.json,experiments_raw/results_exp_8_helmholtz1d_optimizer/runs/overnight_r011_m8_resample_5k_fp64_s0/metrics.csv,helmholtz1d,helmholtz_m8,fp64,0,m,8.0,0.8333270916880886,1.0901146465550076,0.00023297562641035443,128.0,4.0,5000.0,0.0,2.0,5000.0,1500.0,,,200.0,True,True
experiments_raw/results_exp_8_helmholtz1d_optimizer/runs/overnight_r019_m8_softer_lbfgs_fp64_s0,experiments_raw/results_exp_8_helmholtz1d_optimizer/runs/overnight_r019_m8_softer_lbfgs_fp64_s0/summary.json,experiments_raw/results_exp_8_helmholtz1d_optimizer/runs/overnight_r019_m8_softer_lbfgs_fp64_s0/metrics.csv,helmholtz1d,helmholtz_m8,fp64,0,m,8.0,0.8333270916880886,1.0901146465550076,0.00023297562641035443,128.0,4.0,5000.0,0.0,2.0,5000.0,1500.0,,,200.0,True,True
experiments_raw/results_exp_8_helmholtz1d_optimizer/runs/overnight_r003_m8_base_2k_fp64_s0,experiments_raw/results_exp_8_helmholtz1d_optimizer/runs/overnight_r003_m8_base_2k_fp64_s0/summary.json,experiments_raw/results_exp_8_helmholtz1d_optimizer/runs/overnight_r003_m8_base_2k_fp64_s0/metrics.csv,helmholtz1d,helmholtz_m8,fp64,0,m,8.0,0.9997622799937324,1.8400437865217492,0.2138212678878202,128.0,4.0,5000.0,0.0,2.0,2000.0,1500.0,,,0.0,True,True
experiments_raw/results_exp_8_helmholtz1d_optimizer/runs/overnight_r007_m8_resample_2k_fp64_s0,experiments_raw/results_exp_8_helmholtz1d_optimizer/runs/overnight_r007_m8_resample_2k_fp64_s0/summary.json,experiments_raw/results_exp_8_helmholtz1d_optimizer/runs/overnight_r007_m8_resample_2k_fp64_s0/metrics.csv,helmholtz1d,helmholtz_m8,fp64,0,m,8.0,0.9270554297052566,1.3828068535148959,0.23622469861077391,128.0,4.0,5000.0,0.0,2.0,2000.0,1500.0,,,200.0,True,True
experiments_raw/results_exp_8_helmholtz1d_optimizer/runs/overnight_r015_m8_soft_lbfgs_fp64_s0,experiments_raw/results_exp_8_helmholtz1d_optimizer/runs/overnight_r015_m8_soft_lbfgs_fp64_s0/summary.json,experiments_raw/results_exp_8_helmholtz1d_optimizer/runs/overnight_r015_m8_soft_lbfgs_fp64_s0/metrics.csv,helmholtz1d,helmholtz_m8,fp64,0,m,8.0,0.8333270916880886,1.0901146465550076,0.00023297562641035443,128.0,4.0,5000.0,0.0,2.0,5000.0,1500.0,,,200.0,True,True
