task_name,main_parameter_name,main_parameter_value,variant,fp32_n_valid,fp32_n_total,fp32_bad_rate,fp32_median_best_l2,fp32_mean_best_l2,fp32_min_best_l2,fp32_max_best_l2,fp64_n_valid,fp64_n_total,fp64_bad_rate,fp64_median_best_l2,fp64_mean_best_l2,fp64_min_best_l2,fp64_max_best_l2,fp64_over_fp32_median,fp64_over_fp32_mean,conclusion
convection1d,beta,30.0,lbfgs_grid_t4,1,1,0.0,0.0066110449843108,0.0066110449843108,0.0066110449843108,0.0066110449843108,1,1,0.0,0.0101805789260388,0.0101805789260388,0.0101805789260388,0.0101805789260388,1.539934904421184,1.539934904421184,unstable_or_seed_sensitive
convection1d,beta,50.0,convection_beta50,1,1,1.0,0.741241991519928,0.741241991519928,0.741241991519928,0.741241991519928,1,1,1.0,0.7004091523132202,0.7004091523132202,0.7004091523132202,0.7004091523132202,0.9449129438511984,0.9449129438511984,unstable_or_seed_sensitive
convection1d,beta,50.0,convection_beta50_wide_lbfgs,1,1,1.0,0.6873066425323486,0.6873066425323486,0.6873066425323486,0.6873066425323486,1,1,0.0,0.0071818074399789,0.0071818074399789,0.0071818074399789,0.0071818074399789,0.010449204176927306,0.010449204176927306,unstable_or_seed_sensitive
convection1d,beta,50.0,lbfgs_grid_t4,1,1,1.0,0.8505832552909851,0.8505832552909851,0.8505832552909851,0.8505832552909851,1,1,1.0,0.8581250754380461,0.8581250754380461,0.8581250754380461,0.8581250754380461,1.0088666454461073,1.0088666454461073,unstable_or_seed_sensitive
helmholtz1d,m,5.0,helmholtz,6,6,0.0,0.0012301544193178,0.001206913546411629,3.904392724507488e-05,0.0023082674015313,6,6,0.0,0.000452363636341,0.0004425136057345147,4.0099485495170586e-05,0.0008157897861872,0.3677291478511006,0.36664896756705334,unstable_or_seed_sensitive
helmholtz1d,m,8.0,adam_only,2,2,0.5,0.24972347915172574,0.24972347915172574,0.1933128833770752,0.3061340749263763,2,2,0.5,0.18062934349575735,0.18062934349575735,0.1459099619138763,0.2153487250776384,0.72331742337296,0.72331742337296,unstable_or_seed_sensitive
helmholtz1d,m,8.0,base_2k,2,2,0.0,0.00531957997009155,0.00531957997009155,0.002597127109766,0.0080420328304171,2,2,0.5,0.5005469567780806,0.5005469567780806,0.0013316335624289,0.9997622799937324,94.09520292811129,94.09520292811129,unstable_or_seed_sensitive
helmholtz1d,m,8.0,helmholtz,4,4,0.5,0.5220789592713118,0.5220789592713118,0.0553073845803737,0.9888505339622498,4,4,0.0,0.0961646018779944,0.09616460187799442,0.0342897565962522,0.1580394471597366,0.18419551328445702,0.18419551328445705,unstable_or_seed_sensitive
helmholtz1d,m,8.0,helmholtz_main,2,2,0.5,0.5019146215636282,0.5019146215636282,0.0038419985212385,0.999987244606018,2,2,0.0,0.0008813547300047,0.0008813547300047,0.0004160223984903,0.0013466870615191,0.0017559853651184574,0.0017559853651184574,unstable_or_seed_sensitive
helmholtz1d,m,8.0,helmholtz_resample_long,2,2,0.0,0.00324988248758015,0.00324988248758015,0.0031560382340103,0.00334372674115,2,2,0.5,0.11544944453359139,0.11544944453359139,0.0010758262542644,0.2298230628129184,35.52419048220867,35.52419048220867,unstable_or_seed_sensitive
helmholtz1d,m,8.0,resample_100_soft,2,2,0.5,0.4842431533616037,0.4842431533616037,0.0031260228715837,0.9653602838516236,2,2,0.5,0.3565394531813218,0.3565394531813218,0.0025188842046772,0.7105600221579664,0.7362818672938047,0.7362818672938047,unstable_or_seed_sensitive
helmholtz1d,m,8.0,resample_2k,2,2,0.5,0.49979674903443083,0.49979674903443083,0.0018775480566546,0.997715950012207,2,2,1.0,0.9655925334747055,0.9655925334747055,0.9270554297052566,1.0041296372441544,1.9319704166546834,1.9319704166546834,unstable_or_seed_sensitive
helmholtz1d,m,8.0,resample_5k,2,2,0.5,0.4196427436545491,0.4196427436545491,0.0163131300359964,0.8229723572731018,2,2,1.0,0.8357008852020027,0.8357008852020027,0.8333270916880886,0.8380746787159169,1.991457967136812,1.991457967136812,unstable_or_seed_sensitive
helmholtz1d,m,8.0,resample_proven_128,3,3,0.0,0.0022322519216686,0.0026027435281624,0.0022322519216686,0.00334372674115,3,3,0.3333333333333333,0.0010758262542644,0.07732490510714905,0.0010758262542644,0.2298230628129184,0.4819466135615301,29.708999089027536,unstable_or_seed_sensitive
helmholtz1d,m,8.0,resample_wide_256,3,3,0.6666666666666666,0.2373065054416656,0.41278430082214373,0.0019152539316564,0.9991311430931092,3,3,0.6666666666666666,0.9980026600753076,0.6785512102463374,0.0385436640733099,0.9991073065903948,4.205542777758511,1.643839673395681,unstable_or_seed_sensitive
helmholtz1d,m,8.0,soft_lbfgs,2,2,0.5,0.4143065933603793,0.4143065933603793,0.0056408294476568,0.8229723572731018,2,2,1.0,0.8357008852020027,0.8357008852020027,0.8333270916880886,0.8380746787159169,2.017107375539831,2.017107375539831,unstable_or_seed_sensitive
helmholtz1d,m,8.0,softer_lbfgs,2,2,0.5,0.4168632044456899,0.4168632044456899,0.010754051618278,0.8229723572731018,2,2,1.0,0.8357008852020027,0.8357008852020027,0.8333270916880886,0.8380746787159169,2.004736508978403,2.004736508978403,unstable_or_seed_sensitive
helmholtz1d,m,9.0,adam_only,2,2,1.0,0.6103802919387817,0.6103802919387817,0.5772601962089539,0.6435003876686096,2,2,1.0,0.5025544211868497,0.5025544211868497,0.3718786383536135,0.6332302040200859,0.8233464084997907,0.8233464084997907,unstable_or_seed_sensitive
