case,task_name,param,param_value,variant,fp32_n,fp32_bad_rate,fp32_median,fp32_min,fp32_max,fp64_n,fp64_bad_rate,fp64_median,fp64_min,fp64_max,ratio,result
"Гельмгольц, m=11",helmholtz1d,m,11.0,softer_lbfgs,2,1.0,0.8971443176269531,0.8938377499580383,0.9004508852958679,2,1.0,0.8430182004375846,0.7648315825262401,0.9212048183489292,0.9396684389279328,нестабильно
"Гельмгольц, m=10",helmholtz1d,m,10.0,resample_wide_256,2,0.5,0.5307801514863968,0.0617046654224395,0.999855637550354,2,0.5,0.5009812977420637,0.0030693868074505,0.998893208676677,0.9438583872044115,нестабильно
"Конвекция, beta=50",convection1d,beta,50.0,convection_beta50_beta50p0,1,1.0,0.741241991519928,0.741241991519928,0.741241991519928,1,1.0,0.7004091523132202,0.7004091523132202,0.7004091523132202,0.9449129438511984,нестабильно
"Гельмгольц, m=12",helmholtz1d,m,12.0,resample_100_soft,2,1.0,0.9421449601650238,0.9234357476234436,0.960854172706604,2,1.0,0.8905449009683568,0.8229494042510993,0.9581403976856142,0.9452312952057518,нестабильно
"Гельмгольц, m=11",helmholtz1d,m,11.0,adam_only,2,1.0,0.6959944069385529,0.6743218302726746,0.7176669836044312,2,1.0,0.6644842815818902,0.5641369806375404,0.7648315825262401,0.9547264675656444,нестабильно
"Гельмгольц, m=11",helmholtz1d,m,11.0,base_2k,2,1.0,1.0000382363796234,0.9997513890266418,1.000325083732605,2,1.0,0.9556324552699178,0.911248342730892,1.0000165678089437,0.9555959167416787,нестабильно
"Бюргерс, nu=0.001",burgers1d,nu,0.001,burgers_main_nu0p001,2,1.0,0.25809021294116974,0.2063408493995666,0.3098395764827728,2,1.0,0.2530033896767759,0.2377272764260296,0.2682795029275222,0.9802905224246014,нестабильно
"Гельмгольц, m=20",helmholtz1d,m,20.0,helmholtz_m20,2,1.0,1.0252462029457092,1.020623803138733,1.0298686027526855,2,1.0,1.0086148201354792,1.0012795470249394,1.0159500932460188,0.9837781571270928,нестабильно
"Гельмгольц, m=11",helmholtz1d,m,11.0,resample_2k,2,1.0,0.9998898804187775,0.9997513890266418,1.000028371810913,2,1.0,0.9851772498985103,0.9703243240439255,1.0000301757530952,0.9852857491525915,нестабильно
"Гельмгольц, m=10",helmholtz1d,m,10.0,base_2k,2,1.0,1.0000163614749908,0.9999876618385316,1.0000450611114502,2,1.0,0.9888148849943763,0.9737688172987262,1.0038609526900264,0.9887987067890642,нестабильно
"Бюргерс, nu=0.0005",burgers1d,nu,0.0005,burgers_hard_nu_0p0005,2,1.0,0.38551378250122065,0.3703256249427795,0.4007019400596618,2,1.0,0.3839419351851035,0.3730345486275325,0.3948493217426745,0.9959227208274657,нестабильно
"Гельмгольц, m=12",helmholtz1d,m,12.0,helmholtz_main_m12,2,1.0,0.9999948143959045,0.9999876022338868,1.0000020265579224,2,1.0,0.9995139673514024,0.999026778702152,1.0000011560006528,0.9995191504620026,нестабильно
"Гельмгольц, m=12",helmholtz1d,m,12.0,resample_wide_256,3,1.0,0.9996394515037536,0.9994671940803528,0.9996394515037536,3,1.0,0.9992590815203,0.9992590815203,0.999964932948867,0.9996194928252568,нестабильно
"Гельмгольц, m=12",helmholtz1d,m,12.0,base_2k,2,1.0,1.0001896023750305,1.0000450611114502,1.0003341436386108,2,1.0,1.0002138901608468,1.000101484613563,1.0003262957081305,1.0000242831816675,нестабильно
"Гельмгольц, m=40",helmholtz1d,m,40.0,helmholtz_m40,2,1.0,1.0015859603881836,1.0,1.0031719207763672,2,1.0,1.0016868388050884,1.0,1.0033736776101767,1.0001007186810662,нестабильно
"Гельмгольц, m=15",helmholtz1d,m,15.0,helmholtz_m15,2,1.0,0.9991057515144348,0.998418629169464,0.9997928738594056,2,1.0,0.9998017630305931,0.9997146390353306,0.9998888870258557,1.0006966344804875,нестабильно
"Гельмгольц, m=12",helmholtz1d,m,12.0,helmholtz_m12,4,1.0,0.9988885223865509,0.9977800250053406,0.9999970197677612,2,1.0,0.9997862233202714,0.9997685303210976,0.9998039163194452,1.00089869981845,нестабильно
"Гельмгольц, m=12",helmholtz1d,m,12.0,resample_2k,2,1.0,1.000018835067749,0.999985933303833,1.000051736831665,2,1.0,1.0023016171526695,1.000101484613563,1.004501749691776,1.0022827390893752,нестабильно
"Гельмгольц, m=30",helmholtz1d,m,30.0,helmholtz_m30,2,1.0,1.0591694116592407,1.0000180006027222,1.1183208227157593,2,1.0,1.0636761404421842,1.0323122255157855,1.0950400553685828,1.004254965006857,нестабильно
"Конвекция, beta=50",convection1d,beta,50.0,lbfgs_grid_t4,1,1.0,0.8505832552909851,0.8505832552909851,0.8505832552909851,1,1.0,0.8581250754380461,0.8581250754380461,0.8581250754380461,1.0088666454461073,нестабильно
"Бюргерс, nu=0.001",burgers1d,nu,0.001,adam2e4_lbfgs05_steps2000_inner5_resample200,1,1.0,0.2265450656414032,0.2265450656414032,0.2265450656414032,1,1.0,0.2301922653213753,0.2301922653213753,0.2301922653213753,1.0160992236562116,нестабильно
"Бюргерс, nu=0.0002",burgers1d,nu,0.0002,burgers_hard_nu_0p0002,2,1.0,0.39725589752197266,0.3857518434524536,0.4087599515914917,2,1.0,0.4087557481708067,0.4044342354120777,0.4130772609295357,1.0289482188195782,нестабильно
"Бюргерс, nu=0.0001",burgers1d,nu,0.0001,burgers_hard_nu_0p0001,2,1.0,0.4010026454925537,0.3910178542137146,0.4109874367713928,2,1.0,0.4136770667144381,0.4076916257378808,0.4196625076909954,1.031606826948277,нестабильно
"Гельмгольц, m=10",helmholtz1d,m,10.0,more_points_soft,2,1.0,0.789873331785202,0.7046611905097961,0.8750854730606079,2,1.0,0.873874734936602,0.858370551159921,0.8893789187132829,1.106347941842203,нестабильно
"Гельмгольц, m=11",helmholtz1d,m,11.0,more_points_soft,2,1.0,0.8238373398780823,0.6670244336128235,0.9806502461433412,2,1.0,0.91782062059764,0.8705080357747348,0.9651332054205454,1.114079899235286,нестабильно
"Гельмгольц, m=9",helmholtz1d,m,9.0,base_2k,2,0.5,0.5036407802253962,0.0075856037437915,0.9996959567070008,2,0.5,0.5781763795044393,0.1563372631704687,1.00001549583841,1.1479935743997656,нестабильно
"Гельмгольц, m=9",helmholtz1d,m,9.0,resample_5k,2,1.0,0.6637359857559204,0.6435003876686096,0.6839715838432312,2,1.0,0.7737521724714718,0.6353126044504966,0.9121917404924468,1.1657529335105363,нестабильно
"Бюргерс, nu=0.001",burgers1d,nu,0.001,adam2e4_lbfgs1_steps2000_inner5_resample200,1,1.0,0.2255788147449493,0.2255788147449493,0.2255788147449493,1,1.0,0.2673989889349082,0.2673989889349082,0.2673989889349082,1.1853905218769896,нестабильно
"Гельмгольц, m=10",helmholtz1d,m,10.0,adam_only,2,1.0,0.5799353420734406,0.5050587058067322,0.6548119783401489,2,1.0,0.7162463689923662,0.6185362830621512,0.813956454922581,1.2350452145778412,нестабильно
"Бюргерс, nu=0.001",burgers1d,nu,0.001,nu_0p001,3,1.0,0.312531441450119,0.2301674783229828,0.3161875009536743,3,1.0,0.3950744994023785,0.3686728799292377,0.3952189758199652,1.2641112125207843,нестабильно
"Гельмгольц, m=10",helmholtz1d,m,10.0,resample_2k,2,1.0,0.7145734429359436,0.5031043291091919,0.9260425567626952,2,1.0,0.9841810144416369,0.9640224278720806,1.0043396010111931,1.3772986166375927,нестабильно
"Гельмгольц, m=11",helmholtz1d,m,11.0,resample_100_soft,2,1.0,0.6195481568574904,0.2863378226757049,0.952758491039276,2,1.0,0.9208200545496547,0.8842450899711777,0.9573950191281316,1.4862768040829848,нестабильно
"Гельмгольц, m=12",helmholtz1d,m,12.0,resample_5k,2,1.0,0.587784931063652,0.2466135323047638,0.9289563298225404,2,1.0,0.8840779469495255,0.80425369797553,0.9639021959235208,1.5040840624302896,нестабильно
"Бюргерс, nu=0.002",burgers1d,nu,0.002,burgers_main_nu0p002,2,0.5,0.1577947568148374,0.0480684004724025,0.2675211131572723,2,0.5,0.2784619062602394,0.1827031297746268,0.3742206827458521,1.7647094991058392,нестабильно
"Гельмгольц, m=8",helmholtz1d,m,8.0,resample_2k,2,0.5,0.49979674903443083,0.0018775480566546,0.997715950012207,2,1.0,0.9655925334747055,0.9270554297052566,1.0041296372441544,1.9319704166546834,нестабильно
