source_path,summary_path,metrics_path,task_name,variant,dtype,seed,main_parameter_name,main_parameter_value,best_l2_error,final_l2_error,final_loss,hid_size,num_layers,n_collocation,n_ic,n_bc,adam_steps,lbfgs_steps,lr_adam,lbfgs_lr,resample_every,is_valid,is_bad
experiments_raw/results_exp_8_helmholtz1d_optimizer/runs/overnight_r134_m12_resample_2k_fp32_s1,experiments_raw/results_exp_8_helmholtz1d_optimizer/runs/overnight_r134_m12_resample_2k_fp32_s1/summary.json,experiments_raw/results_exp_8_helmholtz1d_optimizer/runs/overnight_r134_m12_resample_2k_fp32_s1/metrics.csv,helmholtz1d,helmholtz_m12,fp32,1,m,12.0,0.999985933303833,1.0005704164505005,0.5003538727760315,128.0,4.0,5000.0,0.0,2.0,2000.0,1500.0,,,200.0,True,True
experiments_raw/results_exp_8_helmholtz1d_optimizer/runs/overnight_r150_m12_adam_only_fp32_s1,experiments_raw/results_exp_8_helmholtz1d_optimizer/runs/overnight_r150_m12_adam_only_fp32_s1/summary.json,experiments_raw/results_exp_8_helmholtz1d_optimizer/runs/overnight_r150_m12_adam_only_fp32_s1/metrics.csv,helmholtz1d,helmholtz_m12,fp32,1,m,12.0,0.9013190865516664,3.7817323207855225,0.0005852998001500964,128.0,4.0,5000.0,0.0,2.0,10000.0,0.0,,,200.0,True,True
experiments_raw/results_exp_8_helmholtz1d_optimizer/runs/overnight_r138_m12_resample_5k_fp32_s1,experiments_raw/results_exp_8_helmholtz1d_optimizer/runs/overnight_r138_m12_resample_5k_fp32_s1/summary.json,experiments_raw/results_exp_8_helmholtz1d_optimizer/runs/overnight_r138_m12_resample_5k_fp32_s1/metrics.csv,helmholtz1d,helmholtz_m12,fp32,1,m,12.0,0.2466135323047638,0.2466135323047638,2.510429658286739e-05,128.0,4.0,5000.0,0.0,2.0,5000.0,1500.0,,,200.0,True,False
experiments_raw/results_exp_8_helmholtz1d_optimizer/runs/overnight_r154_m12_resample_100_soft_fp32_s1,experiments_raw/results_exp_8_helmholtz1d_optimizer/runs/overnight_r154_m12_resample_100_soft_fp32_s1/summary.json,experiments_raw/results_exp_8_helmholtz1d_optimizer/runs/overnight_r154_m12_resample_100_soft_fp32_s1/metrics.csv,helmholtz1d,helmholtz_m12,fp32,1,m,12.0,0.9234357476234436,0.9234357476234436,0.27345889806747437,128.0,4.0,5000.0,0.0,2.0,5000.0,1500.0,,,100.0,True,True
experiments_raw/results_exp_8_helmholtz1d_optimizer/runs/overnight_r130_m12_base_2k_fp32_s1,experiments_raw/results_exp_8_helmholtz1d_optimizer/runs/overnight_r130_m12_base_2k_fp32_s1/summary.json,experiments_raw/results_exp_8_helmholtz1d_optimizer/runs/overnight_r130_m12_base_2k_fp32_s1/metrics.csv,helmholtz1d,helmholtz_m12,fp32,1,m,12.0,1.0003341436386108,1.0424273014068604,0.5001286268234253,128.0,4.0,5000.0,0.0,2.0,2000.0,1500.0,,,0.0,True,True
experiments_raw/results_exp_8_helmholtz1d_optimizer/runs/overnight_r146_m12_softer_lbfgs_fp32_s1,experiments_raw/results_exp_8_helmholtz1d_optimizer/runs/overnight_r146_m12_softer_lbfgs_fp32_s1/summary.json,experiments_raw/results_exp_8_helmholtz1d_optimizer/runs/overnight_r146_m12_softer_lbfgs_fp32_s1/metrics.csv,helmholtz1d,helmholtz_m12,fp32,1,m,12.0,0.999985933303833,1.26382577419281,0.10918005555868149,128.0,4.0,5000.0,0.0,2.0,5000.0,1500.0,,,200.0,True,True
experiments_raw/results_exp_8_helmholtz1d_optimizer/runs/overnight_r158_m12_more_points_soft_fp32_s1,experiments_raw/results_exp_8_helmholtz1d_optimizer/runs/overnight_r158_m12_more_points_soft_fp32_s1/summary.json,experiments_raw/results_exp_8_helmholtz1d_optimizer/runs/overnight_r158_m12_more_points_soft_fp32_s1/metrics.csv,helmholtz1d,helmholtz_m12,fp32,1,m,12.0,0.9999912977218628,1.2879319190979004,0.0958886593580246,128.0,4.0,10000.0,0.0,2.0,5000.0,1000.0,,,200.0,True,True
experiments_raw/results_exp_8_helmholtz1d_optimizer/runs/overnight_r142_m12_soft_lbfgs_fp32_s1,experiments_raw/results_exp_8_helmholtz1d_optimizer/runs/overnight_r142_m12_soft_lbfgs_fp32_s1/summary.json,experiments_raw/results_exp_8_helmholtz1d_optimizer/runs/overnight_r142_m12_soft_lbfgs_fp32_s1/metrics.csv,helmholtz1d,helmholtz_m12,fp32,1,m,12.0,0.999985933303833,2.6754260063171387,0.03469933569431305,128.0,4.0,5000.0,0.0,2.0,5000.0,1500.0,,,200.0,True,True
experiments_raw/results_exp_12_helmholts_more/results_exp_9_helmholtz1d_large_lbfgs/runs/exp9_r022_m12_resample_wide_256_fp32_s1,experiments_raw/results_exp_12_helmholts_more/results_exp_9_helmholtz1d_large_lbfgs/runs/exp9_r022_m12_resample_wide_256_fp32_s1/summary.json,experiments_raw/results_exp_12_helmholts_more/results_exp_9_helmholtz1d_large_lbfgs/runs/exp9_r022_m12_resample_wide_256_fp32_s1/metrics.csv,helmholtz1d,helmholtz_m12,fp32,1,m,12.0,0.9994671940803528,1.000002145767212,0.5043795704841614,256.0,3.0,5000.0,0.0,2.0,8000.0,2000.0,,1.0,200.0,True,True
experiments_raw/results_exp_5_helmholtz1d_normalized/runs/helmholtz_m12_fp32_1,experiments_raw/results_exp_5_helmholtz1d_normalized/runs/helmholtz_m12_fp32_1/summary.json,experiments_raw/results_exp_5_helmholtz1d_normalized/runs/helmholtz_m12_fp32_1/metrics.csv,helmholtz1d,helmholtz_m12,fp32,1,m,12.0,0.9977800250053406,5.149521350860596,0.0949416384100914,128.0,4.0,5000.0,0.0,2.0,10000.0,800.0,,,,True,True
