case,task_name,param,param_value,variant,dtype,n_total,n_bad,n_valid,median_best_l2,mean_best_l2,min_best_l2,max_best_l2,median_final_l2,seeds,bad_rate
"Гельмгольц, m=10",helmholtz1d,m,10.0,helmholtz_lbfgs_r10_m10_fp64_adam500,fp64,1,1,1,1.0035130802412142,1.0035130802412142,1.0035130802412142,1.0035130802412142,3.2562015925709984,0,1.0
"Гельмгольц, m=10",helmholtz1d,m,10.0,helmholtz_lbfgs_r11_m10_fp32_adam2000,fp32,1,0,1,0.0026900072116404,0.0026900072116404,0.0026900072116404,0.0026900072116404,0.002690007211640477,0,0.0
"Гельмгольц, m=10",helmholtz1d,m,10.0,helmholtz_lbfgs_r12_m10_fp64_adam2000,fp64,1,1,1,1.0035130802412142,1.0035130802412142,1.0035130802412142,1.0035130802412142,13.264213168182557,0,1.0
"Гельмгольц, m=10",helmholtz1d,m,10.0,helmholtz_m10,fp32,6,4,6,0.5190091133117676,0.5241148762094477,0.0100820837542414,0.9999887943267822,0.5190091133117676,"0, 1",0.6666666666666666
"Гельмгольц, m=10",helmholtz1d,m,10.0,helmholtz_m10,fp64,6,2,6,0.0598496834833388,0.3614279970068462,0.0063527287590072,0.9999874171388566,0.31655661641409155,"0, 1",0.3333333333333333
"Гельмгольц, m=10",helmholtz1d,m,10.0,helmholtz_rs_m10,fp32,2,0,2,0.001598153845407,0.001598153845407,0.0012300387024879,0.0019662689883261,0.0027125850319862366,"0, 1",0.0
"Гельмгольц, m=10",helmholtz1d,m,10.0,helmholtz_rs_m10,fp64,2,0,2,0.0030036022583295003,0.0030036022583295003,0.0020277565836407,0.0039794479330183,0.0030352970511956364,"0, 1",0.0
"Гельмгольц, m=10",helmholtz1d,m,10.0,more_points_soft,fp32,2,2,2,0.789873331785202,0.789873331785202,0.7046611905097961,0.8750854730606079,0.9766508042812347,"0, 1",1.0
"Гельмгольц, m=10",helmholtz1d,m,10.0,more_points_soft,fp64,2,2,2,0.873874734936602,0.873874734936602,0.858370551159921,0.8893789187132829,2.3535179581311034,"0, 1",1.0
"Гельмгольц, m=10",helmholtz1d,m,10.0,resample_100_soft,fp32,2,0,2,0.038796855602413395,0.038796855602413395,0.0057461159303784,0.0718475952744484,0.038796855602413416,"0, 1",0.0
"Гельмгольц, m=10",helmholtz1d,m,10.0,resample_100_soft,fp64,2,1,2,0.47243897769932747,0.47243897769932747,0.0304997350200298,0.9143782203786252,0.5916964633921296,"0, 1",0.5
"Гельмгольц, m=10",helmholtz1d,m,10.0,resample_2k,fp32,2,2,2,0.7145734429359436,0.7145734429359436,0.5031043291091919,0.9260425567626952,4.838680803775787,"0, 1",1.0
"Гельмгольц, m=10",helmholtz1d,m,10.0,resample_2k,fp64,2,2,2,0.9841810144416369,0.9841810144416369,0.9640224278720806,1.0043396010111931,3.8221366283815708,"0, 1",1.0
"Гельмгольц, m=10",helmholtz1d,m,10.0,resample_5k,fp32,2,2,2,0.845535010099411,0.845535010099411,0.8018308877944946,0.8892391324043274,1.467114120721817,"0, 1",1.0
"Гельмгольц, m=10",helmholtz1d,m,10.0,resample_5k,fp64,2,1,2,0.42695783875159615,0.42695783875159615,0.0362062492301714,0.817709428273021,0.44075019788122183,"0, 1",0.5
"Гельмгольц, m=10",helmholtz1d,m,10.0,resample_proven_128,fp32,2,0,2,0.0029858662746846502,0.0029858662746846502,0.0019741179421544,0.0039976146072149,0.004022814566269517,"0, 1",0.0
"Гельмгольц, m=10",helmholtz1d,m,10.0,resample_proven_128,fp64,2,0,2,0.00151330790346355,0.00151330790346355,0.0011726996034194,0.0018539162035077,0.0015133079034635837,"0, 1",0.0
"Гельмгольц, m=10",helmholtz1d,m,10.0,resample_wide_256,fp32,2,1,2,0.5307801514863968,0.5307801514863968,0.0617046654224395,0.999855637550354,0.5308544188737869,"0, 1",0.5
