task_name,main_parameter_name,main_parameter_value,dtype,n_total,n_valid,n_bad,median_best_l2,mean_best_l2,min_best_l2,max_best_l2,bad_rate
convection1d,beta,,fp16,3,0,3,,,,,1.0
heat1d,alpha,0.1,fp32,3,3,0,0.0003752529737539,0.0003942041027281667,0.0002165301557397,0.0005908291786909,0.0
heat1d,alpha,0.1,fp64,3,3,0,0.0003106738239774,0.0004702419473657,0.0002769395990441,0.0008231124190756,0.0
helmholtz1d,m,5.0,fp32,6,6,0,0.0001501124716014,0.0006672140668039124,3.904392724507488e-05,0.0023082674015313,0.0
helmholtz1d,m,5.0,fp64,6,6,0,0.00026551947009825874,0.00039036200641591777,4.0099485495170586e-05,0.0008974688928242,0.0
helmholtz1d,m,6.0,fp32,2,2,0,0.00026787861861518136,0.00026787861861518136,8.179871656466275e-05,0.0004539585206657,0.0
helmholtz1d,m,6.0,fp64,2,2,0,0.00050666160955625,0.00050666160955625,0.0002548418768011,0.0007584813423114,0.0
helmholtz1d,m,7.0,fp32,2,2,0,0.00134821725077925,0.00134821725077925,0.0011489177122712,0.0015475167892873,0.0
helmholtz1d,m,7.0,fp64,2,2,0,0.0005143762736539,0.0005143762736539,0.0003402179803587,0.0006885345669491,0.0
helmholtz1d,m,8.0,fp16,2,0,2,,,,,1.0
helmholtz1d,m,8.0,fp32,32,32,11,0.00939804222434755,0.2912143480150462,9.030805813381448e-05,1.0168980360031128,0.34375
helmholtz1d,m,8.0,fp64,32,32,17,0.2225858939452784,0.43045853997834577,0.0004160223984903,1.01204815394529,0.53125
helmholtz1d,m,9.0,fp32,18,18,10,0.6094483435153961,0.4337991754065216,0.0004719910793937,0.9996959567070008,0.5555555555555556
helmholtz1d,m,9.0,fp64,18,18,11,0.6132410123356826,0.46070291175846784,0.0005594160001707,1.00001549583841,0.6111111111111112
helmholtz1d,m,10.0,fp32,35,35,17,0.0966113582253456,0.40889082199095617,0.000743078882806,1.0149681568145752,0.4857142857142857
helmholtz1d,m,10.0,fp64,35,35,15,0.0537387129381762,0.4074177506780474,0.0004545846478039,1.0043396010111931,0.42857142857142855
helmholtz1d,m,11.0,fp32,18,18,16,0.8971443176269531,0.7591829544334259,0.0011448074365034,1.000325083732605,0.8888888888888888
helmholtz1d,m,11.0,fp64,18,18,16,0.8977467163510349,0.7748858433107347,0.0002883292436591,1.0000301757530952,0.8888888888888888
helmholtz1d,m,12.0,fp16,2,0,2,,,,,1.0
helmholtz1d,m,12.0,fp32,35,35,22,0.9289563298225404,0.5924984821650598,0.0019692897330969,1.0003341436386108,0.6285714285714286
helmholtz1d,m,12.0,fp64,35,35,22,0.8043486496789253,0.5764260206022911,0.0001698858408164,1.004501749691776,0.6285714285714286
helmholtz1d,m,15.0,fp32,2,2,2,0.9991057515144348,0.9991057515144348,0.998418629169464,0.9997928738594056,1.0
helmholtz1d,m,15.0,fp64,2,2,2,0.9998017630305931,0.9998017630305931,0.9997146390353306,0.9998888870258557,1.0
helmholtz1d,m,20.0,fp32,2,1,2,1.0298686027526855,1.0298686027526855,1.0298686027526855,1.0298686027526855,1.0
helmholtz1d,m,20.0,fp64,2,2,2,1.0086148201354792,1.0086148201354792,1.0012795470249394,1.0159500932460188,1.0
helmholtz1d,m,30.0,fp32,2,2,2,1.0591694116592407,1.0591694116592407,1.0000180006027222,1.1183208227157593,1.0
helmholtz1d,m,30.0,fp64,2,2,2,1.0636761404421842,1.0636761404421842,1.0323122255157855,1.0950400553685828,1.0
helmholtz1d,m,40.0,fp32,2,2,2,1.0015859603881836,1.0015859603881836,1.0,1.0031719207763672,1.0
helmholtz1d,m,40.0,fp64,2,2,2,1.0016868388050884,1.0016868388050884,1.0,1.0033736776101767,1.0
helmholtz1d,m,,fp16,4,0,4,,,,,1.0
