task_name,dtype,seed,alpha,hid_size,num_layers,n_collocation,n_ic,n_bc,adam_steps,lbfgs_steps,final_loss,final_l2_error,time_sec,log_dir,source,variant,best_l2_error,elapsed_time,case_name,case_value,run_id,nu,init_gain,adam_steps_config,lr_adam,lbfgs_steps_config,lbfgs_max_iter,lbfgs_max_eval,lbfgs_history_size,lbfgs_tolerance_grad,lbfgs_tolerance_change,resample_every,lbfgs_lr,best_step,l2_ratio,m,lambda_val,point_mode,hard_bc,bc_weight,run_name,adam_name,lbfgs_name,lbfgs_line_search_fn,beta,n_grid,error
helmholtz1d,fp64,1,"{'m': 7, 'lambda_val': 1.0}",128,4,5000,0.0,2.0,10000,1000,2.736700253212198e-07,0.0003403676079436,160.52083325386047,runs/helmholtz_rs_m7_fp64_1,helmholtz_resample_sweep,helmholtz_resample_sweep,0.0003402179803587,160.52083325386047,m,7.0,,,,,,,,,,,,200.0,,10300.0,1.0004397991686829,7.0,1.0,,,,,,,,,,
helmholtz1d,fp32,0,"{'m': 8, 'lambda_val': 1.0}",128,4,5000,0.0,2.0,10000,1000,5.426192046797951e-07,0.0021061119623482,180.25551104545593,runs/helmholtz_rs_m8_fp32_0,helmholtz_resample_sweep,helmholtz_resample_sweep,0.0013765438925474,180.25551104545593,m,8.0,,,,,,,,,,,,200.0,,10400.0,1.5299998596125883,8.0,1.0,,,,,,,,,,
helmholtz1d,fp32,1,"{'m': 8, 'lambda_val': 1.0}",128,4,5000,0.0,2.0,10000,1000,1.4345403087645536e-06,0.0036951485089957,181.6580166816711,runs/helmholtz_rs_m8_fp32_1,helmholtz_resample_sweep,helmholtz_resample_sweep,0.0036951485089957,181.6580166816711,m,8.0,,,,,,,,,,,,200.0,,10300.0,1.0,8.0,1.0,,,,,,,,,,
helmholtz1d,fp64,0,"{'m': 8, 'lambda_val': 1.0}",128,4,5000,0.0,2.0,10000,1000,7.365225484007258e-07,0.0017310368678821,159.59601426124573,runs/helmholtz_rs_m8_fp64_0,helmholtz_resample_sweep,helmholtz_resample_sweep,0.0011055835956741,159.59601426124573,m,8.0,,,,,,,,,,,,200.0,,10200.0,1.5657222797581465,8.0,1.0,,,,,,,,,,
helmholtz1d,fp64,1,"{'m': 8, 'lambda_val': 1.0}",128,4,5000,0.0,2.0,10000,1000,7.619053074466899e-07,0.0009883520224571,160.8095850944519,runs/helmholtz_rs_m8_fp64_1,helmholtz_resample_sweep,helmholtz_resample_sweep,0.0009721753027929,160.8095850944519,m,8.0,,,,,,,,,,,,200.0,,10200.0,1.0166397146870267,8.0,1.0,,,,,,,,,,
helmholtz1d,fp32,0,"{'m': 9, 'lambda_val': 1.0}",128,4,5000,0.0,2.0,10000,1000,1.0759374617919093e-06,0.0048529859632253,170.21112036705017,runs/helmholtz_rs_m9_fp32_0,helmholtz_resample_sweep,helmholtz_resample_sweep,0.0016469532856717,170.21112036705017,m,9.0,,,,,,,,,,,,200.0,,10300.0,2.946644574224153,9.0,1.0,,,,,,,,,,
helmholtz1d,fp32,1,"{'m': 9, 'lambda_val': 1.0}",128,4,5000,0.0,2.0,10000,1000,5.141197334523895e-07,0.0007509972783736,168.85747528076172,runs/helmholtz_rs_m9_fp32_1,helmholtz_resample_sweep,helmholtz_resample_sweep,0.0004719910793937,168.85747528076172,m,9.0,,,,,,,,,,,,200.0,,10400.0,1.591126000386003,9.0,1.0,,,,,,,,,,
helmholtz1d,fp64,0,"{'m': 9, 'lambda_val': 1.0}",128,4,5000,0.0,2.0,10000,1000,6.199986246711347e-07,0.0012918134921671,159.8447551727295,runs/helmholtz_rs_m9_fp64_0,helmholtz_resample_sweep,helmholtz_resample_sweep,0.0012918134921671,159.8447551727295,m,9.0,,,,,,,,,,,,200.0,,11000.0,1.0,9.0,1.0,,,,,,,,,,
helmholtz1d,fp64,1,"{'m': 9, 'lambda_val': 1.0}",128,4,5000,0.0,2.0,10000,1000,7.177348344162633e-07,0.0006658091503851,160.53047513961792,runs/helmholtz_rs_m9_fp64_1,helmholtz_resample_sweep,helmholtz_resample_sweep,0.0005594160001707,160.53047513961792,m,9.0,,,,,,,,,,,,200.0,,10300.0,1.1901861051201978,9.0,1.0,,,,,,,,,,
helmholtz1d,fp32,0,"{'m': 10, 'lambda_val': 1.0}",128,4,5000,0.0,2.0,10000,1000,4.252362373335927e-07,0.0019662689883261,159.14609813690186,runs/helmholtz_rs_m10_fp32_0,helmholtz_resample_sweep,helmholtz_resample_sweep,0.0019662689883261,159.14609813690186,m,10.0,,,,,,,,,,,,200.0,,11000.0,1.0,10.0,1.0,,,,,,,,,,
