task_name,dtype,seed,alpha,hid_size,num_layers,init_gain,n_collocation,point_mode,n_ic,n_bc,adam_steps,lbfgs_steps,lbfgs_max_iter,lbfgs_max_eval,lbfgs_lr,resample_every,final_loss,final_l2_error,time_sec,log_dir,nu,run_id,run_name,variant,case_name,case_value,lr_adam,lbfgs_history_size,lbfgs_tolerance_grad,lbfgs_tolerance_change,lbfgs_line_search_fn,best_l2_error,best_step,elapsed_time,m,lambda_val,hard_bc,bc_weight,beta,n_grid,error
helmholtz1d,fp16,1,"{'m': 12, 'lambda_val': 1.0, 'hard_bc': False, 'bc_weight': 1.0}",128,4,,5000,,0,2,10000,1000,1,,1.0,200,,,400.42893409729004,final/runs/run024_helmholtz1d_helmholtz_resample_long_m12_fp16_s1,,24,run024_helmholtz1d_helmholtz_resample_long_m12_fp16_s1,helmholtz_resample_long,m,12.0,0.0005,50,1e-08,1e-09,strong_wolfe,,,400.42893409729004,12.0,1.0,False,1.0,,,
convection1d,fp32,0,30.0,256,3,1.0,4225,grid,65,65,0,4000,10,,1.0,0,4.1249226342188194e-05,0.008038868196308613,467.5926570892334,final/runs/run025_convection1d_convection_beta30_lbfgs_grid_beta30p0_fp32_s0,,25,run025_convection1d_convection_beta30_lbfgs_grid_beta30p0_fp32_s0,convection_beta30_lbfgs_grid,beta,30.0,0.0001,50,1e-08,1e-09,strong_wolfe,0.008038868196308613,1200.0,467.5926570892334,,,,,30.0,65.0,
convection1d,fp32,1,30.0,256,3,1.0,4225,grid,65,65,0,4000,10,,1.0,0,6.984756328165531e-05,0.013843609020113945,478.7155635356903,final/runs/run026_convection1d_convection_beta30_lbfgs_grid_beta30p0_fp32_s1,,26,run026_convection1d_convection_beta30_lbfgs_grid_beta30p0_fp32_s1,convection_beta30_lbfgs_grid,beta,30.0,0.0001,50,1e-08,1e-09,strong_wolfe,0.013843609020113945,1000.0,478.7155635356903,,,,,30.0,65.0,
convection1d,fp64,0,30.0,256,3,1.0,4225,grid,65,65,0,4000,10,,1.0,0,8.386172982106453e-06,0.006678353136342014,505.06165504455566,final/runs/run027_convection1d_convection_beta30_lbfgs_grid_beta30p0_fp64_s0,,27,run027_convection1d_convection_beta30_lbfgs_grid_beta30p0_fp64_s0,convection_beta30_lbfgs_grid,beta,30.0,0.0001,50,1e-08,1e-09,strong_wolfe,0.006508118045528396,1800.0,505.06165504455566,,,,,30.0,65.0,
convection1d,fp64,1,30.0,256,3,1.0,4225,grid,65,65,0,4000,10,,1.0,0,8.258063354460632e-06,0.006742623429787042,395.7870223522186,final/runs/run028_convection1d_convection_beta30_lbfgs_grid_beta30p0_fp64_s1,,28,run028_convection1d_convection_beta30_lbfgs_grid_beta30p0_fp64_s1,convection_beta30_lbfgs_grid,beta,30.0,0.0001,50,1e-08,1e-09,strong_wolfe,0.006742623429787042,1400.0,395.7870223522186,,,,,30.0,65.0,
convection1d,fp16,0,30.0,256,3,1.0,4225,grid,65,65,0,4000,10,,1.0,0,0.493896484375,1.0009765625,1134.0587012767792,final/runs/run029_convection1d_convection_beta30_lbfgs_grid_beta30p0_fp16_s0,,29,run029_convection1d_convection_beta30_lbfgs_grid_beta30p0_fp16_s0,convection_beta30_lbfgs_grid,beta,30.0,0.0001,50,1e-08,1e-09,strong_wolfe,1.0009765625,1.0,1134.0587012767792,,,,,30.0,65.0,
convection1d,fp16,1,,256,3,1.0,4225,grid,65,65,0,4000,10,,1.0,0,,,0.29208922386169434,final/runs/run030_convection1d_convection_beta30_lbfgs_grid_beta30p0_fp16_s1,,30,run030_convection1d_convection_beta30_lbfgs_grid_beta30p0_fp16_s1,convection_beta30_lbfgs_grid,beta,30.0,0.0001,50,1e-08,1e-09,strong_wolfe,,,0.29208922386169434,,,,,30.0,65.0,float division by zero
convection1d,fp32,0,50.0,512,3,1.0,10201,grid,101,101,0,5000,10,,0.5,0,0.009399991482496262,0.6873066425323486,1088.6382277011871,final/runs/run031_convection1d_convection_beta50_wide_lbfgs_beta50p0_fp32_s0,,31,run031_convection1d_convection_beta50_wide_lbfgs_beta50p0_fp32_s0,convection_beta50_wide_lbfgs,beta,50.0,5e-05,100,1e-08,1e-10,strong_wolfe,0.6873066425323486,1800.0,1088.6382277011871,,,,,50.0,101.0,
convection1d,fp64,0,50.0,512,3,1.0,10201,grid,101,101,0,5000,10,,0.5,0,6.596239085167774e-06,0.007181807439978906,2370.150009393692,final/runs/run032_convection1d_convection_beta50_wide_lbfgs_beta50p0_fp64_s0,,32,run032_convection1d_convection_beta50_wide_lbfgs_beta50p0_fp64_s0,convection_beta50_wide_lbfgs,beta,50.0,5e-05,100,1e-08,1e-10,strong_wolfe,0.007181807439978906,4500.0,2370.150009393692,,,,,50.0,101.0,
convection1d,fp16,0,50.0,512,3,1.0,10201,grid,101,101,0,5000,10,,0.5,0,,,1431.7947599887848,final/runs/run033_convection1d_convection_beta50_wide_lbfgs_beta50p0_fp16_s0,,33,run033_convection1d_convection_beta50_wide_lbfgs_beta50p0_fp16_s0,convection_beta50_wide_lbfgs,beta,50.0,5e-05,100,1e-08,1e-10,strong_wolfe,1.0205078125,1.0,1431.7947599887848,,,,,50.0,101.0,
