source,task_name,variant,case_name,case_value,best_l2_mean_fp32,best_l2_mean_fp64,count_fp32,count_fp64,elapsed_time_mean_fp32,elapsed_time_mean_fp64,final_l2_mean_fp32,final_l2_mean_fp64,fp64_over_fp32_best,fp64_over_fp32_final,result
helmholtz_inner10,helmholtz1d,width128_adam1e4_lbfgs05_steps1000_inner10_resample250,m,12.0,0.0882605835795402,0.0024585988389089,1,1,174.48082184791565,985.8151581287384,0.0882605835795402,0.0029755990254821,0.027856136218419827,0.0337137927804488,fp64 better
helmholtz_inner10,helmholtz1d,width128_adam1e4_lbfgs1_steps1000_inner10_resample250,m,12.0,0.0136220986023545,0.0003458913456201,1,1,190.59286975860596,1219.9605793952942,0.0136220986023545,0.0006440133369841,0.025391927904582536,0.04727710140585725,fp64 better
helmholtz_inner10,helmholtz1d,width128_adam2e4_lbfgs05_steps1000_inner10_resample250,m,12.0,0.0449693091213703,0.0074743191822439,1,1,196.8427906036377,1214.99245262146,0.0449693091213703,0.0074743191822439,0.16620933984266964,0.16620933984266964,fp64 better
helmholtz_inner10,helmholtz1d,width128_adam2e4_lbfgs1_steps1000_inner10_resample250,m,12.0,0.0560470409691333,0.0056520248669627,1,1,208.7237946987152,1208.9829967021942,0.0560470409691333,0.0056732874162939,0.10084430452047291,0.10122367422427066,fp64 better
helmholtz_inner10,helmholtz1d,width128_adam5e4_lbfgs05_steps1000_inner10_resample250,m,12.0,0.0041363453492522,0.0001698858408164,1,1,180.58161401748657,962.5384855270386,0.0041363453492522,0.0004848110103655,0.041071483754883585,0.11720757563271351,fp64 better
helmholtz_inner10,helmholtz1d,width128_adam5e4_lbfgs1_steps1000_inner10_resample250,m,12.0,0.0192516539245843,0.001540316022811,1,1,171.96420979499817,1111.5089881420135,0.0192516539245843,0.0022187468437881,0.08000954249671097,0.1152496742607017,fp64 better
helmholtz_large_lbfgs,helmholtz1d,resample_proven_128,m,8.0,0.0022322519216686,0.0010758262542644,1,1,127.70034313201904,128.07416677474976,0.0022322519216686,0.0010758262542644,0.4819466135615301,0.4819466135615301,fp64 better
helmholtz_large_lbfgs,helmholtz1d,resample_wide_256,m,8.0,0.2373065054416656,0.9991073065903948,1,1,122.66413736343384,147.1932294368744,0.2373065054416656,2.205890885713629,4.2101977134208575,9.295534825765147,fp32 better
helmholtz_large_lbfgs,helmholtz1d,resample_proven_128,m,12.0,0.0186685994267463,0.0030846842445477,1,1,139.69180274009705,139.5144064426422,0.0186685994267463,0.0030846842445477,0.16523383324237526,0.16523383324237526,fp64 better
helmholtz_large_lbfgs,helmholtz1d,resample_wide_256,m,12.0,0.9996394515037536,0.9992590815203,1,1,196.79501867294312,101.71176409721376,1.0000007152557373,1.0000014776554678,0.9996194928252568,1.0000007623991851,similar
helmholtz_resample_sweep,helmholtz1d,helmholtz_resample_sweep,m,5.0,0.0001501124716014,0.0004776219133083094,2,2,180.57857584953308,155.57802152633667,0.0001501124716014,0.0006679832775119094,3.181760370827542,4.449885278590534,fp32 better
helmholtz_resample_sweep,helmholtz1d,helmholtz_resample_sweep,m,6.0,0.00026787861861518136,0.00050666160955625,2,2,178.57869505882263,162.99620962142944,0.00045139119174563135,0.0012891407996901499,1.8913850316814207,2.8559281245713994,fp32 better
helmholtz_resample_sweep,helmholtz1d,helmholtz_resample_sweep,m,7.0,0.00134821725077925,0.0005143762736539,2,2,180.76559722423553,162.1159429550171,0.00134821725077925,0.0006123307090868,0.3815232844384671,0.45417807013883094,fp64 better
helmholtz_resample_sweep,helmholtz1d,helmholtz_resample_sweep,m,8.0,0.00253584620077155,0.0010388794492335,2,2,180.95676386356354,160.20279967784882,0.0029006302356719502,0.0013596944451696,0.4096776251325546,0.46875828171687584,fp64 better
helmholtz_resample_sweep,helmholtz1d,helmholtz_resample_sweep,m,9.0,0.0010594721825327,0.0009256147461689001,2,2,169.53429782390594,160.1876151561737,0.00280199162079945,0.0009788113212761,0.8736564880412342,0.34932699798610767,similar
helmholtz_resample_sweep,helmholtz1d,helmholtz_resample_sweep,m,10.0,0.001598153845407,0.0030036022583295003,2,2,165.1881147623062,159.11348342895508,0.00271258503198615,0.0030352970511956,1.8794199738414898,1.1189684435341594,fp32 better
helmholtz_resample_sweep,helmholtz1d,helmholtz_resample_sweep,m,11.0,0.0019056165474466498,0.0009833265862458501,2,2,159.5158863067627,159.23703587055206,0.00537186005385585,0.0016846044351573998,0.5160149283775988,0.3135979750530197,fp64 better
helmholtz_resample_sweep,helmholtz1d,helmholtz_resample_sweep,m,12.0,0.0021599326282738997,0.000833988761593,2,2,160.3744934797287,161.2812647819519,0.0040075735887512,0.00184614829321275,0.386117951400863,0.46066485176833105,fp64 better
