source,task_name,variant,case_name,case_value,dtype,best_l2_mean,best_l2_std,best_l2_min,best_l2_max,final_l2_mean,elapsed_time_mean,count
helmholtz_inner10,helmholtz1d,width192_adam2e4_lbfgs1_steps1000_inner10_resample250,m,10.0,fp64,0.0004881865048243,,0.0004881865048243,0.0004881865048243,0.0008971112197284,2334.76327753067,1
helmholtz_inner10,helmholtz1d,width192_adam5e4_lbfgs05_steps1000_inner10_resample250,m,10.0,fp32,0.0034369314089417,,0.0034369314089417,0.0034369314089417,0.0034369314089417,201.71348094940183,1
helmholtz_inner10,helmholtz1d,width192_adam5e4_lbfgs05_steps1000_inner10_resample250,m,10.0,fp64,0.0025258841433677,,0.0025258841433677,0.0025258841433677,0.0103625617814471,1162.946890115738,1
helmholtz_inner10,helmholtz1d,width192_adam5e4_lbfgs1_steps1000_inner10_resample250,m,10.0,fp32,0.0035879830829799,,0.0035879830829799,0.0035879830829799,0.0035879830829799,217.91756987571716,1
helmholtz_inner10,helmholtz1d,width192_adam5e4_lbfgs1_steps1000_inner10_resample250,m,10.0,fp64,0.0004545846478039,,0.0004545846478039,0.0004545846478039,0.0004545846478039,2348.976495027542,1
helmholtz_large_lbfgs,helmholtz1d,resample_proven_128,m,8.0,fp32,0.0022322519216686,,0.0022322519216686,0.0022322519216686,0.0022322519216686,127.70034313201904,1
helmholtz_large_lbfgs,helmholtz1d,resample_proven_128,m,8.0,fp64,0.0010758262542644,,0.0010758262542644,0.0010758262542644,0.0010758262542644,128.07416677474976,1
helmholtz_large_lbfgs,helmholtz1d,resample_proven_128,m,12.0,fp32,0.0186685994267463,,0.0186685994267463,0.0186685994267463,0.0186685994267463,139.69180274009705,1
helmholtz_large_lbfgs,helmholtz1d,resample_proven_128,m,12.0,fp64,0.0030846842445477,,0.0030846842445477,0.0030846842445477,0.0030846842445477,139.5144064426422,1
helmholtz_large_lbfgs,helmholtz1d,resample_wide_256,m,8.0,fp32,0.2373065054416656,,0.2373065054416656,0.2373065054416656,0.2373065054416656,122.66413736343384,1
helmholtz_large_lbfgs,helmholtz1d,resample_wide_256,m,8.0,fp64,0.9991073065903948,,0.9991073065903948,0.9991073065903948,2.205890885713629,147.1932294368744,1
helmholtz_large_lbfgs,helmholtz1d,resample_wide_256,m,12.0,fp32,0.9996394515037536,,0.9996394515037536,0.9996394515037536,1.0000007152557373,196.79501867294312,1
helmholtz_large_lbfgs,helmholtz1d,resample_wide_256,m,12.0,fp64,0.9992590815203,,0.9992590815203,0.9992590815203,1.0000014776554678,101.71176409721376,1
helmholtz_resample_sweep,helmholtz1d,helmholtz_resample_sweep,m,5.0,fp32,0.0001501124716014,8.957954567160455e-07,0.0001494790485594,0.0001507458946434,0.0001501124716014,180.57857584953308,2
helmholtz_resample_sweep,helmholtz1d,helmholtz_resample_sweep,m,5.0,fp64,0.0004776219133083094,0.0005937532925527515,5.777493379241883e-05,0.0008974688928242,0.0006679832775119094,155.57802152633667,2
helmholtz_resample_sweep,helmholtz1d,helmholtz_resample_sweep,m,6.0,fp32,0.00026787861861518136,0.00026315672116490054,8.179871656466275e-05,0.0004539585206657,0.00045139119174563135,178.57869505882263,2
helmholtz_resample_sweep,helmholtz1d,helmholtz_resample_sweep,m,6.0,fp64,0.00050666160955625,0.0003561268813355015,0.0002548418768011,0.0007584813423114,0.0012891407996901499,162.99620962142944,2
